Test Code,QC Code,DATE,17OP,PROG,TESTMS,ANDRO,11DESC,DOC,CORTMS,17PRE,TYR,PHE
PATY,C-PATY1,11/19/2019,,,,,,,,,57.7,48.33268765
PATY,C-PATY2,11/19/2019,,,,,,,,,483,493.4939467
PATY,C-PATY3,11/19/2019,,,,,,,,,1450,1407.748184
CAH6,C-CAH1,11/21/2019,4.93,6.59,6.79,6.42,5.34,4.92,,,,
CAH6,C-CAH2,11/21/2019,123,146,153,143,136,139,2.78,972,,
CAH6,C-CAH3,11/21/2019,1350,1630,1760,1630,1540,1440,30.4,10000,,
CAH6,C-CAH2,11/21/2019,,,,,144,,,,,
PATY,C-PATY1,11/25/2019,,,,,,,,,77.5,64.7
PATY,C-PATY2,11/25/2019,,,,,,,,,464,471.5956416
PATY,C-PATY3,11/25/2019,,,,,,,,,1480,1415.569007
CAH6,C-CAH1,11/25/2019,3.89,6.49,6.22,5.87,5.67,6.05,,,,
CAH6,C-CAH2,11/25/2019,106,150,144,131,139,126,2.47,917,,
CAH6,C-CAH3,11/25/2019,1310,1700,1670,1550,1470,1430,29.7,10800,,
CAH6,C-CAH2,11/25/2019,,,,,,,2.52,,,
PATY,C-PATY1,11/26/2019,,,,,,,,,55,44.42227603
PATY,C-PATY1,11/26/2019,,,,,,,,,56,45.28256659
PATY,C-PATY2,11/26/2019,,,,,,,,,452,449.6973366
PATY,C-PATY2,11/26/2019,,,,,,,,,484,484.8910412
PATY,C-PATY3,11/26/2019,,,,,,,,,1420,1313.898305
PATY,C-PATY3,11/26/2019,,,,,,,,,1630,1517.239709
PATY,C-PATY1,11/27/2019,,,,,,,,,56.9,46.06464891
PATY,C-PATY1,11/27/2019,,,,,,,,,61,49.6622276
PATY,C-PATY2,11/27/2019,,,,,,,,,415,412.9394673
PATY,C-PATY2,11/27/2019,,,,,,,,,483,472.377724
PATY,C-PATY3,11/27/2019,,,,,,,,,1630,1509.418886
PATY,C-PATY3,11/27/2019,,,,,,,,,1680,1587.627119
CAH6,C-CAH1,11/27/2019,4.94,6.58,7.42,7.29,6.07,5.62,,,,
CAH6,C-CAH2,11/27/2019,106,145,155,139,135,127,2.58,956,,
CAH6,C-CAH3,11/27/2019,1140,1610,1650,1490,1560,1460,28.7,10100,,
PATY,C-PATY1,11/29/2019,,,,,,,,,55.3,45.36077482
PATY,C-PATY2,11/29/2019,,,,,,,,,510,500.5326877
PATY,C-PATY3,11/29/2019,,,,,,,,,1460,1376.464891
CAH6,C-CAH1,12/2/2019,5.09,6.31,7.46,7.69,5.98,4.2,,,,
CAH6,C-CAH2,12/2/2019,100,132,140,129,132,116,2.34,738,,
CAH6,C-CAH3,12/2/2019,1270,1600,1610,1510,1410,1470,28.3,9010,,
PATY,C-PATY1,12/3/2019,,,,,,,,,59.1,46.61210654
PATY,C-PATY2,12/3/2019,,,,,,,,,489,504.4430993
PATY,C-PATY3,12/3/2019,,,,,,,,,1480,1423.389831
PATY,C-PATY1,12/4/2019,,,,,,,,,56.9,45.28256659
PATY,C-PATY2,12/4/2019,,,,,,,,,440,439.5302663
PATY,C-PATY3,12/4/2019,,,,,,,,,1490,1462.493947
PATY,C-PATY1,12/5/2019,,,,,,,,,56.8,45.20435835
PATY,C-PATY2,12/5/2019,,,,,,,,,440,449.6973366
PATY,C-PATY3,12/5/2019,,,,,,,,,1580,1517.239709
CAH6,C-CAH1,12/5/2019,4.08,5.7,6.72,6.91,5.01,4.21,,,,
CAH6,C-CAH2,12/5/2019,112,150,144,130,131,132,2.6,808,,
CAH6,C-CAH3,12/5/2019,1300,1680,1680,1540,1410,1500,27.9,9640,,
PATY,C-PATY1,12/6/2019,,,,,,,,,59.4,47.70702179
PATY,C-PATY2,12/6/2019,,,,,,,,,427,444.2227603
PATY,C-PATY3,12/6/2019,,,,,,,,,1580,1525.060533
PATY,C-PATY1,12/9/2019,,,,,,,,,56.2,45.59539952
PATY,C-PATY2,12/9/2019,,,,,,,,,456,468.4673123
PATY,C-PATY3,12/9/2019,,,,,,,,,1470,1376.464891
CAH6,C-CAH1,12/9/2019,4.72,4.64,7.31,6.69,6.04,3.83,,,,
CAH6,C-CAH2,12/9/2019,109,148,144,137,137,133,2.72,896,,
CAH6,C-CAH3,12/9/2019,1260,1690,1620,1580,1430,1450,29.7,10600,,
CAH6,C-CAH1,12/9/2019,,4.98,,,,4,,,,
PATY,C-PATY1,12/10/2019,,,,,,,,,61.3,49.34939467
PATY,C-PATY2,12/10/2019,,,,,,,,,447,455.9539952
PATY,C-PATY3,12/10/2019,,,,,,,,,1410,1345.181598
PATY,C-PATY1,12/11/2019,,,,,,,,,58.1,47.31598063
PATY,C-PATY2,12/11/2019,,,,,,,,,442,443.440678
PATY,C-PATY3,12/11/2019,,,,,,,,,1470,1407.748184
PATY,C-PATY1,12/12/2019,,,,,,,,,62,51.22639225
PATY,C-PATY2,12/12/2019,,,,,,,,,400,408.2469734
PATY,C-PATY3,12/12/2019,,,,,,,,,1400,1337.360775
CAH6,C-CAH1,12/12/2019,3.74,6.39,6.85,6.8,*7.84,5.38,,,,
CAH6,C-CAH2,12/12/2019,109,135,141,132,137,129,2.53,849,,
CAH6,C-CAH3,12/12/2019,1250,1490,1580,1490,1440,1360,28.6,9260,,
PATY,C-PATY1,12/13/2019,,,,,,,,,53.2,43.17094431
PATY,C-PATY2,12/13/2019,,,,,,,,,432,432.4915254
PATY,C-PATY3,12/13/2019,,,,,,,,,1440,1384.285714
PATY,C-PATY1,12/16/2019,,,,,,,,,56.6,45.36077482
PATY,C-PATY2,12/16/2019,,,,,,,,,458,468.4673123
PATY,C-PATY3,12/16/2019,,,,,,,,,1480,1431.210654
CAH6,C-CAH1,12/16/2019,4.73,6.14,6.42,6.74,6.42,3.96,,,,
CAH6,C-CAH2,12/16/2019,111,137,151,137,133,134,2.56,822,,
CAH6,C-CAH3,12/16/2019,1210,1500,1650,1550,1410,1460,27.8,9760,,
PATY,C-PATY1,12/17/2019,,,,,,,,,56.8,45.83002421
PATY,C-PATY2,12/17/2019,,,,,,,,,452,455.9539952
PATY,C-PATY3,12/17/2019,,,,,,,,,1390,1337.360775
PATY,C-PATY1,12/18/2019,,,,,,,,,56.8,46.37748184
PATY,C-PATY2,12/18/2019,,,,,,,,,422,426.2348668
PATY,C-PATY3,12/18/2019,,,,,,,,,1480,1415.569007
PATY,C-PATY1,12/19/2019,,,,,,,,,63.3,52.08668281
PATY,C-PATY2,12/19/2019,,,,,,,,,462,467.68523
PATY,C-PATY3,12/19/2019,,,,,,,,,1550,1493.77724
CAH6,C-CAH1,12/19/2019,5.58,5.49,7.35,6.57,4.42,4.28,,,,
CAH6,C-CAH2,12/19/2019,117,140,149,141,129,134,2.66,877,,
CAH6,C-CAH3,12/19/2019,1350,1630,1780,1620,1600,1600,30.9,10900,,
PATY,C-PATY1,12/20/2019,,,,,,,,,65.2,53.72905569
PATY,C-PATY2,12/20/2019,,,,,,,,,471,471.5956416
PATY,C-PATY3,12/20/2019,,,,,,,,,1570,1540.702179
PATY,C-PATY1,12/23/2019,,,,,,,,,56.5,45.51719128
PATY,C-PATY2,12/23/2019,,,,,,,,,466,466.9031477
PATY,C-PATY3,12/23/2019,,,,,,,,,1470,1368.644068
CAH6,C-CAH1,12/23/2019,5.34,5.95,6.85,6.82,5.41,5.79,,,,
CAH6,C-CAH2,12/23/2019,117,140,147,136,129,129,2.67,878,,
CAH6,C-CAH3,12/23/2019,1270,1590,1620,1590,170,1500,29.1,9700,,
PATY,C-PATY1,12/24/2019,,,,,,,,,54.7,44.50048426
PATY,C-PATY2,12/24/2019,,,,,,,,,427,427.0169492
PATY,C-PATY3,12/24/2019,,,,,,,,,1470,1415.569007
CAH6,C-CAH1,12/26/2019,5.53,5.13,7.09,6.15,5.37,5.85,,,,
CAH6,C-CAH2,12/26/2019,118,142,150,139,134,136,2.66,903,,
CAH6,C-CAH3,12/26/2019,1200,1460,1600,1480,1390,1460,28.6,9280,,
PATY,C-PATY1,12/27/2019,,,,,,,,,61.2,50.44430993
PATY,C-PATY2,12/27/2019,,,,,,,,,435,444.2227603
PATY,C-PATY3,12/27/2019,,,,,,,,,1560,1532.881356
PATY,C-PATY1,12/30/2019,,,,,,,,,59,47.2377724
PATY,C-PATY2,12/30/2019,,,,,,,,,460,460.6464891
PATY,C-PATY3,12/30/2019,,,,,,,,,1390,1353.002421
CAH6,C-CAH1,12/30/2019,4.8,6.84,7.04,6.72,5.53,5.77,,,,
CAH6,C-CAH2,12/30/2019,111,138,146,134,135,128,2.67,954,,
CAH6,C-CAH3,12/30/2019,1310,1660,1710,1610,1620,1550,30.4,11000,,
PATY,C-PATY1,12/31/2019,,,,,,,,,57.9,46.61210654
PATY,C-PATY2,12/31/2019,,,,,,,,,445,451.2615012
PATY,C-PATY3,12/31/2019,,,,,,,,,1480,1423.389831
PATY,C-PATY1,1/2/2020,,,,,,,,,58,47.62881356
PATY,C-PATY2,1/2/2020,,,,,,,,,452,460.6464891
PATY,C-PATY3,1/2/2020,,,,,,,,,1520,1423.389831
CAH6,C-CAH1,1/2/2020,4.83,6.06,6.47,6.47,5.02,6.77,,,,
CAH6,C-CAH2,1/2/2020,112,131,146,132,130,132,2.54,808,,
CAH6,C-CAH3,1/2/2020,1250,1490,1550,1530,1420,1410,27.9,9340,,
PATY,C-PATY1,1/3/2020,,,,,,,,,56.5,46.37748184
PATY,C-PATY2,1/3/2020,,,,,,,,,482,484.8910412
PATY,C-PATY3,1/3/2020,,,,,,,,,1410,1329.539952
PATY,C-PATY1,1/6/2020,,,,,,,,,58.9,46.53389831
PATY,C-PATY1,1/6/2020,,,,,,,,,60.4,46.69031477
PATY,C-PATY2,1/6/2020,,,,,,,,,437,436.401937
PATY,C-PATY3,1/6/2020,,,,,,,,,1440,1360.823245
PATY,C-PATY3,1/6/2020,,,,,,,,,1490,1454.673123
CAH6,C-CAH1,1/6/2020,4.91,5.89,6.43,6.21,5.31,5.51,,,,
CAH6,C-CAH2,1/6/2020,112,139,141,135,134,128,2.58,911,,
CAH6,C-CAH3,1/6/2020,1190,1510,1530,1430,1470,1380,28.2,8960,,
PATY,C-PATY1,1/7/2020,,,,,,,,,56.6,44.73510896
PATY,C-PATY2,1/7/2020,,,,,,,,,427,425.4527845
PATY,C-PATY3,1/7/2020,,,,,,,,,1590,1540.702179
PATY,C-PATY1,1/8/2020,,,,,,,,,61.8,50.91355932
PATY,C-PATY2,1/8/2020,,,,,,,,,454,471.5956416
PATY,C-PATY3,1/8/2020,,,,,,,,,1500,1446.8523
PATY,C-PATY1,1/9/2020,,,,,,,,,57.9,46.92493947
PATY,C-PATY2,1/9/2020,,,,,,,,,483,491.9297821
PATY,C-PATY3,1/9/2020,,,,,,,,,1630,1548.523002
PATY,C-PATY1,1/10/2020,,,,,,,,,59.8,49.97506053
PATY,C-PATY2,1/10/2020,,,,,,,,,463,473.9418886
PATY,C-PATY3,1/10/2020,,,,,,,,,1450,1399.927361
CAH6,C-CAH1,1/10/2020,4.69,6.59,7.13,6.65,4.38,4.91,,,,
CAH6,C-CAH2,1/10/2020,107,132,140,128,129,124,2.62,828,,
CAH6,C-CAH3,1/10/2020,1200,1500,1560,1470,1420,1410,28.6,9400,,
PATY,C-PATY1,1/13/2020,,,,,,,,,61.5,51.77384988
PATY,C-PATY2,1/13/2020,,,,,,,,,470,478.6343826
PATY,C-PATY3,1/13/2020,,,,,,,,,1470,1392.106538
CAH6,C-CAH1,1/13/2020,5.74,6.68,7.66,6.82,4.61,6.2,,,,
CAH6,C-CAH2,1/13/2020,114,141,148,141,142,135,2.72,794,,
CAH6,C-CAH3,1/13/2020,1280,1580,1690,1630,1560,1480,30.1,10000,,
PATY,C-PATY1,1/14/2020,,,,,,,,,58.5,48.41089588
PATY,C-PATY2,1/14/2020,,,,,,,,,441,443.440678
PATY,C-PATY3,1/14/2020,,,,,,,,,1360,1329.539952
PATY,C-PATY1,1/15/2020,,,,,,,,,65.7,55.84067797
PATY,C-PATY2,1/15/2020,,,,,,,,,459,461.4285714
PATY,C-PATY3,1/15/2020,,,,,,,,,1400,1368.644068
PATY,C-PATY1,1/16/2020,,,,,,,,,61.7,51.53922518
PATY,C-PATY2,1/16/2020,,,,,,,,,423,418.4140436
PATY,C-PATY3,1/16/2020,,,,,,,,,1450,1370
CAH6,C-CAH1,1/16/2020,4.62,6.93,6.83,6.69,5.09,5.86,,,,
CAH6,C-CAH2,1/16/2020,111,135,140,132,121,122,2.47,768,,
CAH6,C-CAH3,1/16/2020,1200,1450,1450,1390,1380,1310,26.4,9290,,
