"test_code","qc_code","date","analyte","value"
"PATY","C-PATY2",2020-02-13,"phe",451
"PATY","C-PATY3",2020-02-13,"phe",1360
"PATY","C-PATY1",2020-02-14,"phe",50.9
"PATY","C-PATY2",2020-02-14,"phe",453
"PATY","C-PATY3",2020-02-14,"phe",1410
"PATY","C-PATY1",2020-02-17,"phe",57.1
"PATY","C-PATY1",2020-02-17,"phe",57.9
"PATY","C-PATY1",2020-02-17,"phe",59.1
"PATY","C-PATY1",2020-02-17,"phe",60.3
"PATY","C-PATY1",2020-02-17,"phe",47.2
"PATY","C-PATY1",2020-02-17,"phe",67.3
"PATY","C-PATY2",2020-02-17,"phe",476
"PATY","C-PATY3",2020-02-17,"phe",1440
"PATY","C-PATY1",2020-02-18,"phe",59.2
"PATY","C-PATY1",2020-02-18,"phe",57.1
"PATY","C-PATY1",2020-02-18,"phe",58.5
"PATY","C-PATY1",2020-02-18,"phe",59.4
"PATY","C-PATY1",2020-02-18,"phe",46.8
"PATY","C-PATY1",2020-02-18,"phe",60.5
"PATY","C-PATY2",2020-02-18,"phe",451
"PATY","C-PATY3",2020-02-18,"phe",1440
"PATY","C-PATY1",2020-02-19,"phe",47.8
"PATY","C-PATY2",2020-02-19,"phe",446
"PATY","C-PATY3",2020-02-19,"phe",1480
"PATY","C-PATY1",2020-02-20,"phe",58.5
"PATY","C-PATY1",2020-02-20,"phe",51.3
"PATY","C-PATY2",2020-02-20,"phe",487
"PATY","C-PATY3",2020-02-20,"phe",1550
"PATY","C-PATY1",2020-02-21,"phe",65.3
"PATY","C-PATY1",2020-02-21,"phe",50.9
"PATY","C-PATY2",2020-02-21,"phe",473
"PATY","C-PATY3",2020-02-21,"phe",1420
"PATY","C-PATY3",2020-02-21,"phe",1390
"PATY","C-PATY1",2020-02-24,"phe",51.6
"PATY","C-PATY2",2020-02-24,"phe",496
"PATY","C-PATY3",2020-02-24,"phe",1410
"PATY","C-PATY1",2020-02-25,"phe",65.7
"PATY","C-PATY1",2020-02-25,"phe",49.3
"PATY","C-PATY2",2020-02-25,"phe",527
"PATY","C-PATY3",2020-02-25,"phe",1350
"PATY","C-PATY3",2020-02-25,"phe",1410
"PATY","C-PATY1",2020-02-26,"phe",62.8
"PATY","C-PATY1",2020-02-26,"phe",49
"PATY","C-PATY2",2020-02-26,"phe",459
"PATY","C-PATY3",2020-02-26,"phe",1380
"PATY","C-PATY3",2020-02-26,"phe",1420
"PATY","C-PATY1",2020-02-27,"phe",61.5
"PATY","C-PATY1",2020-02-27,"phe",49.4
"PATY","C-PATY2",2020-02-27,"phe",453
"PATY","C-PATY2",2020-02-27,"phe",498
"PATY","C-PATY3",2020-02-27,"phe",1480
"PATY","C-PATY3",2020-02-27,"phe",1480
"PATY","C-PATY3",2020-02-27,"phe",1560
"PATY","C-PATY1",2020-02-28,"phe",45
"PATY","C-PATY1",2020-02-28,"phe",62.5
"PATY","C-PATY2",2020-02-28,"phe",486
"PATY","C-PATY3",2020-02-28,"phe",1450
"PATY","C-PATY3",2020-02-28,"phe",1460
"PATY","C-PATY1",2020-03-02,"phe",48.2
"PATY","C-PATY2",2020-03-02,"phe",485
"PATY","C-PATY3",2020-03-02,"phe",1370
